date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:51	403/403	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202006%2016:34:09%20GMT	www-camil.music.uiuc.edu:16080/robots.txt		(from )
17:40:51	10396/10396	U-----	200	untouched ('OK')	text/html	etag:%2213efca-289c-4378c00f%22	www-camil.music.uiuc.edu:16080/classes/404B/	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/index.html	(from )
17:40:52	5293/5293	U-----	200	untouched ('OK')	text/css	etag:%228cdf9-14ad-422bd4b4%22	www-camil.music.uiuc.edu:16080/classes/404B/css/cm.css	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/css/cm.css	(from www-camil.music.uiuc.edu:16080/classes/404B/)
17:40:52	1110/1110	U-----	200	untouched ('OK')	text/plain	etag:%22ccaec-456-434185a6%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/DOTemacs	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/DOTemacs.txt	(from www-camil.music.uiuc.edu:16080/classes/404B/)
17:40:52	15931/15931	U-----	200	untouched ('OK')	text/plain	etag:%2293e9b-3e3b-43126ef8%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/ms.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/ms.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
17:40:52	20801/20801	U-----	200	untouched ('OK')	text/plain	etag:%2293e98-5141-43126cb4%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/ms-answers.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/ms-answers.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
17:40:53	962/962	U-----	200	untouched ('OK')	text/plain	etag:%2297108-3c2-4315e612%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/msutils.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/msutils.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
17:40:53	501/501	U-----	200	untouched ('OK')	text/plain	etag:%22969fd-1f5-4315b0fc%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/cminit.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/cminit.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
17:40:53	2020/2020	U-----	200	untouched ('OK')	text/plain	etag:%229718a-7e4-4315f39c%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/ms2.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/ms2.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
17:40:53	4366/4366	U-----	200	untouched ('OK')	text/plain	etag:%2297196-110e-4315f455%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/ms2-answers.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/ms2-answers.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
