date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:40	403/403	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202006%2013:28:59%20GMT	www-camil.music.uiuc.edu:16080/robots.txt		(from )
14:35:41	10396/10396	---M--	200	added ('OK')	text/html	etag:%2213efca-289c-4378c00f%22	www-camil.music.uiuc.edu:16080/classes/404B/	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/index.html	(from )
14:35:43	5293/5293	---M--	200	added ('OK')	text/css	etag:%228cdf9-14ad-422bd4b4%22	www-camil.music.uiuc.edu:16080/classes/404B/css/cm.css	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/css/cm.css	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:44	1110/1110	---M--	200	added ('OK')	text/plain	etag:%22ccaec-456-434185a6%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/DOTemacs	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/DOTemacs.txt	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:47	15931/15931	---M--	200	added ('OK')	text/plain	etag:%2293e9b-3e3b-43126ef8%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/ms.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/ms.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:48	962/962	---M--	200	added ('OK')	text/plain	etag:%2297108-3c2-4315e612%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/msutils.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/msutils.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:49	20801/20801	---M--	200	added ('OK')	text/plain	etag:%2293e98-5141-43126cb4%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/ms-answers.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/ms-answers.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:49	501/501	---M--	200	added ('OK')	text/plain	etag:%22969fd-1f5-4315b0fc%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/cminit.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/cminit.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:50	2020/2020	---M--	200	added ('OK')	text/plain	etag:%229718a-7e4-4315f39c%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/ms2.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/ms2.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:51	1001/1001	---M--	200	added ('OK')	text/html	etag:%22a057a-3e9-4321971a%22	www-camil.music.uiuc.edu:16080/classes/404B/fomus/fomus.html	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/fomus/fomus.html	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:51	4366/4366	---M--	200	added ('OK')	text/plain	etag:%2297196-110e-4315f455%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/ms2-answers.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/ms2-answers.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:52	3699/3699	---M--	200	added ('OK')	text/plain	etag:%22a307d-e73-4325a3df%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/dk1.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/dk1.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:53	7221/7221	---M--	200	added ('OK')	text/plain	etag:%22a420c-1c35-4329d868%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/dk1-answers.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/dk1-answers.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
